00> [OTA] seq=195 , [RX] 0x18DA03F1, 28 5F 63 6C 6B 2E 63 00
00> [OTA] seq=196 , [RX] 0x18DA03F1, 29 26 40 05 40 EE FA FF
00> [OTA] seq=197 , [RX] 0x18DA03F1, 2A FF FE 43 05 40 00 BF
00> [OTA] seq=198 , [RX] 0x18DA03F1, 2B FE E7 10 B5 AF F3 00
00> [OTA] seq=199 , [RX] 0x18DA03F1, 21 FF F7 E8 FF 00 BF 0B
00> [OTA] seq=200 , [RX] 0x18DA03F1, 22 48 00 68 64 F3 00 00
00> [OTA] seq=201 , [RX] 0x18DA03F1, 23 09 49 08 60 10 BD 2E
00> [OTA] seq=202 , [RX] 0x18DA03F1, 29 10 B5 04 46 00 BF 0C
00> [OTA] seq=203 , [RX] 0x18DA03F1, 2A B1 01 2C 00 D1 03 E0
00> [OTA] seq=204 , [RX] 0x18DA03F1, 2B B9 21 07 A0 FF F7 C3
00> [OTA] seq=205 , [RX] 0x18DA03F1, 21 69 76 65 72 5C 73 72
00> [OTA] seq=206 , [RX] 0x18DA03F1, 22 63 5C 68 63 33 32 66
00> [OTA] seq=207 , [RX] 0x18DA03F1, 23 34 36 30 5F 65 66 6D
00> [OTA] seq=208 , [RX] 0x18DA03F1, 24 2E 63 00 04 04 01 40
00> [OTA] seq=209 , [RX] 0x18DA03F1, 11 02 36 0D 10 B5 04 46
00> [OTA] seq=210 , [TX] 0x18DAF103, 30 00 00 00 AA AA AA AA (FC)
00> [OTA] seq=211 , [TX] 0x18DAF103, 02 76 0D AA AA AA AA AA (ACK, seq=13)
00> [OTA] seq=212 , [RX] 0x18DA03F1, 21 00 BF 01 2C 0C D0 02
00> [OTA] seq=213 , [RX] 0x18DA03F1, 22 2C 0A D0 04 2C 08 D0
00> [OTA] seq=214 , [RX] 0x18DA03F1, 28 68 20 40 08 B1 01 20
00> [OTA] seq=215 , [RX] 0x18DA03F1, 29 10 BD 00 20 FC E7 00
00> [OTA] seq=216 , [RX] 0x18DA03F1, 2A 00 2E 2E 5C 2E 2E 5C
00> [OTA] seq=217 , [RX] 0x18DA03F1, 20 28 04 D1 43 F2 10 20
00> [OTA] seq=218 , [RX] 0x18DA03F1, 21 01 49 08 60 08 60 70
00> [OTA] seq=219 , [RX] 0x18DA03F1, 22 47 00 04 01 40 2D E9
00> [OTA] seq=220 , [RX] 0x18DA03F1, 23 F0 41 04 46 00 26 00
00> [OTA] seq=221 , [RX] 0x18DA03F1, 29 00 68 C0 F3 00 45 25
00> [OTA] seq=222 , [RX] 0x18DA03F1, 2A 48 00 68 20 F4 80 30
00> [OTA] seq=223 , [RX] 0x18DA03F1, 2B 23 49 08 60 01 20 FF
00> [OTA] seq=224 , [RX] 0x18DA03F1, 21 00 D9 09 27 17 48 08
00> [OTA] seq=225 , [RX] 0x18DA03F1, 22 30 00 68 C0 F3 00 20
00> [OTA] seq=226 , [RX] 0x18DA03F1, 23 00 28 F2 D0 10 20 FF
00> [OTA] seq=227 , [RX] 0x18DA03F1, 24 F7 2C FF 12 48 00 1D
00> [OTA] seq=228 , [RX] 0x18DA03F1, 11 02 36 0E 00 68 20 F0
00> [OTA] seq=229 , [TX] 0x18DAF103, 30 00 00 00 AA AA AA AA (FC)
00> [OTA] seq=230 , [TX] 0x18DAF103, 02 76 0E AA AA AA AA AA (ACK, seq=14)
00> [OTA] seq=231 , [RX] 0x18DA03F1, 21 70 00 10 49 09 1D 08
00> [OTA] seq=232 , [RX] 0x18DA03F1, 22 60 00 20 FF F7 27 FF
00> [OTA] seq=233 , [RX] 0x18DA03F1, 28 73 72 63 5C 68 63 33
00> [OTA] seq=234 , [RX] 0x18DA03F1, 29 32 66 34 36 30 5F 65
00> [OTA] seq=235 , [RX] 0x18DA03F1, 2A 66 6D 2E 63 00 08 04
00> [OTA] seq=236 , [RX] 0x18DA03F1, 2B 01 40 78 56 34 12 10
00> [OTA] seq=237 , [RX] 0x18DA03F1, 21 08 2C 0D D0 09 2C 0B
00> [OTA] seq=238 , [RX] 0x18DA03F1, 22 D0 0A 2C 09 D0 0B 2C
00> [OTA] seq=239 , [RX] 0x18DA03F1, 23 07 D0 0C 2C 05 D0 0D
00> [OTA] seq=240 , [RX] 0x18DA03F1, 24 2C 03 D0 0E 2C 01 D0
00> [OTA] seq=241 , [RX] 0x18DA03F1, 2F F0 41 04 46 0D 46 4F
00> [OTA] seq=242 , [RX] 0x18DA03F1, 20 F0 00 08 00 27 00 BF
00> [OTA] seq=243 , [RX] 0x18DA03F1, 21 1C B1 1C B1 27 48 84
00> [OTA] seq=244 , [RX] 0x18DA03F1, 22 42 00 D8 04 E0 40 F2
00> [OTA] seq=245 , [RX] 0x18DA03F1, 23 19 21 25 A0 FF F7 A7
00> [OTA] seq=246 , [RX] 0x18DA03F1, 24 FE 00 BF 3F 20 FF F7
00> [OTA] seq=247 , [RX] 0x18DA03F1, 11 02 36 0F A9 FE 2A 48
00> [OTA] seq=248 , [TX] 0x18DAF103, 30 00 00 00 AA AA AA AA (FC)
00> [OTA] seq=249 , [TX] 0x18DAF103, 02 76 0F AA AA AA AA AA (ACK, seq=15)
00> [OTA] seq=250 , [RX] 0x18DA03F1, 21 00 68 C0 F3 00 46 28
00> [OTA] seq=251 , [RX] 0x18DA03F1, 22 48 00 68 20 F4 80 30
00> [OTA] seq=252 , [RX] 0x18DA03F1, 28 B2 B7 F5 80 5F 01 D9
00> [OTA] seq=253 , [RX] 0x18DA03F1, 29 4F F0 09 08 1A 48 08
