00> [OTA] seq=5590, time= 50.207s, [RX] 0x18DA03F1, 22 61 0D 4E 26 3E 05 68 <-- CF
00> [OTA] seq=5591, time= 50.209s, [RX] 0x18DA03F1, 23 36 6A C6 F3 02 26 F5 <-- CF
00> [OTA] seq=5592, time= 50.210s, [RX] 0x18DA03F1, 24 40 45 61 09 4E 26 3E <-- CF
00> [OTA] seq=5593, time= 50.211s, [RX] 0x18DA03F1, 25 05 68 36 6A C6 F3 02 <-- CF
00> [OTA] seq=5594, time= 50.213s, [RX] 0x18DA03F1, 26 36 F5 40 85 61 05 4E <-- CF
00> [OTA] seq=5595, time= 50.214s, [RX] 0x18DA03F1, 27 26 3E 05 68 00 E0 04 <-- CF
00> [OTA] seq=5596, time= 50.217s, [RX] 0x18DA03F1, 28 E0 36 6A C6 F3 02 46 <-- CF
00> [OTA] seq=5597, time= 50.238s, [RX] 0x18DA03F1, 29 F5 40 C5 61 70 BD 00 <-- CF
00> [OTA] seq=5598, time= 50.240s, [RX] 0x18DA03F1, 2A 00 26 40 05 40 00 24 <-- CF
00> [OTA] seq=5599, time= 50.243s, [RX] 0x18DA03F1, 2B F4 00 00 12 7A 00 70 <-- CF
00> [OTA] seq=5600, time= 50.247s, [RX] 0x18DA03F1, 2C B5 04 46 00 BF 3C B1 <-- CF
00> [OTA] seq=5601, time= 50.249s, [RX] 0x18DA03F1, 2D 01 2C 05 D0 02 2C 03 <-- CF
00> [OTA] seq=5602, time= 50.252s, [RX] 0x18DA03F1, 2E D0 03 2C 01 D0 04 2C <-- CF
00> [OTA] seq=5603, time= 50.254s, [RX] 0x18DA03F1, 2F 00 D1 04 E0 40 F2 3F <-- CF
00> [OTA] seq=5604, time= 50.256s, [RX] 0x18DA03F1, 20 61 1E A0 00 F0 6A FA <-- CF
00> [OTA] seq=5605, time= 50.278s, [RX] 0x18DA03F1, 21 00 BF 34 B1 01 2C 0D <-- CF
00> [OTA] seq=5606, time= 50.281s, [RX] 0x18DA03F1, 22 D0 02 2C 14 D0 03 2C <-- CF
00> [OTA] seq=5607, time= 50.283s, [RX] 0x18DA03F1, 23 24 D1 1A E0 20 48 00 <-- CF
00> [OTA] seq=5608, time= 50.283s, [RX] 0x18DA03F1, 24 78 00 F0 01 00 80 F0 <-- CF
00> [OTA] seq=5609, time= 50.283s, [RX] 0x18DA03F1, 25 01 00 80 F0 01 05 24 <-- CF
00> [OTA] seq=5610, time= 50.283s, [RX] 0x18DA03F1, 26 E0 1B 48 00 78 C0 F3 <-- CF
00> [OTA] seq=5611, time= 50.283s, [RX] 0x18DA03F1, 27 C0 00 80 F0 01 00 80 <-- CF
00> [OTA] seq=5612, time= 50.283s, [RX] 0x18DA03F1, 28 F0 01 05 1B E0 17 48 <-- CF
00> [OTA] seq=5613, time= 50.283s, [RX] 0x18DA03F1, 29 00 78 C0 F3 40 10 80 <-- CF
00> [OTA] seq=5614, time= 50.283s, [RX] 0x18DA03F1, 2A F0 01 00 80 F0 01 05 <-- CF
00> [OTA] seq=5615, time= 50.283s, [RX] 0x18DA03F1, 2B 12 E0 12 48 00 78 C0 <-- CF
00> [OTA] seq=5616, time= 50.283s, [RX] 0x18DA03F1, 2C F3 80 10 80 F0 01 00 <-- CF
00> [OTA] seq=5617, time= 50.283s, [RX] 0x18DA03F1, 2D 80 F0 01 05 09 E0 0E <-- CF
00> [OTA] seq=5618, time= 50.283s, [RX] 0x18DA03F1, 2E 48 40 1D 00 78 00 F0 <-- CF
00> [OTA] seq=5619, time= 50.286s, [RX] 0x18DA03F1, 2F 01 00 80 F0 01 00 80 <-- CF
00> [OTA] seq=5620, time= 50.289s, [RX] 0x18DA03F1, 20 F0 01 05 00 BF 00 BF <-- CF
00> [OTA] seq=5621, time= 50.312s, [RX] 0x18DA03F1, 21 28 46 70 BD 2E 2E 5C <-- CF
00> [OTA] seq=5622, time= 50.312s, [RX] 0x18DA03F1, 22 2E 2E 5C 64 72 69 76 <-- CF
00> [OTA] seq=5623, time= 50.312s, [RX] 0x18DA03F1, 23 65 72 5C 73 72 63 5C <-- CF
00> [OTA] seq=5624, time= 50.312s, [RX] 0x18DA03F1, 24 68 63 33 32 66 34 36 <-- CF
00> [FW] >>> OnTransferData: seq=7, len=256
00> [OTA] seq=5625, time= 50.326s, [TX] 0x18DAF103, 03 76 76 07 AA AA AA AA 
00> [OTA] seq=5626, time= 50.346s, [RX] 0x18DA03F1, 11 02 36 08 30 5F 63 6C <-- FF TransferData
00> [OTA] FF: response_id=0x18DAF103
00> [OTA] FC: dst_id=0x18DAF103 bs=0 stmin=5
00> [OTA] seq=5627, time= 50.346s, [TX] 0x18DAF103, 30 00 05 AA AA AA AA AA 
00> [OTA] seq=5628, time= 50.349s, [RX] 0x18DA03F1, 21 6B 2E 63 00 3C 40 05 <-- CF
00> [OTA] seq=5629, time= 50.352s, [RX] 0x18DA03F1, 22 40 38 B5 04 46 00 20 <-- CF
00> [OTA] seq=5630, time= 50.355s, [RX] 0x18DA03F1, 23 00 90 00 25 31 48 00 <-- CF
00> [OTA] seq=5631, time= 50.359s, [RX] 0x18DA03F1, 24 88 4A F2 01 51 08 43 <-- CF
00> [OTA] seq=5632, time= 50.361s, [RX] 0x18DA03F1, 25 2F 49 A1 F8 FE 03 00 <-- CF
00> [OTA] seq=5633, time= 50.364s, [RX] 0x18DA03F1, 26 BF 0C B1 01 2C 00 D1 <-- CF
00> [OTA] seq=5634, time= 50.367s, [RX] 0x18DA03F1, 27 04 E0 40 F2 25 21 2B <-- CF
00> [OTA] seq=5635, time= 50.368s, [RX] 0x18DA03F1, 28 A0 00 F0 07 FA 00 BF <-- CF
00> [OTA] seq=5636, time= 50.391s, [RX] 0x18DA03F1, 29 44 BB 28 48 26 30 00 <-- CF
00> [OTA] seq=5637, time= 50.393s, [RX] 0x18DA03F1, 2A 78 00 F0 07 00 08 B9 <-- CF
00> [OTA] seq=5638, time= 50.397s, [RX] 0x18DA03F1, 2B 01 25 39 E0 2D 48 00 <-- CF
00> [OTA] seq=5639, time= 50.399s, [RX] 0x18DA03F1, 2C 68 C0 F3 C0 10 88 B1 <-- CF
00> [OTA] seq=5640, time= 50.399s, [RX] 0x18DA03F1, 2D 21 48 2A 30 00 78 00 <-- CF
00> [OTA] seq=5641, time= 50.402s, [RX] 0x18DA03F1, 2E F0 01 00 08 B9 01 25 <-- CF
00> [OTA] seq=5642, time= 50.405s, [RX] 0x18DA03F1, 2F 2C E0 1D 48 36 30 00 <-- CF
00> [OTA] seq=5643, time= 50.407s, [RX] 0x18DA03F1, 20 78 20 F0 01 00 40 1C <-- CF
00> [OTA] seq=5644, time= 50.429s, [RX] 0x18DA03F1, 21 1A 49 81 F8 36 00 22 <-- CF
00> [OTA] seq=5645, time= 50.431s, [RX] 0x18DA03F1, 22 E0 18 48 36 30 00 78 <-- CF
00> [OTA] seq=5646, time= 50.433s, [RX] 0x18DA03F1, 23 20 F0 01 00 40 1C 15 <-- CF
00> [OTA] seq=5647, time= 50.435s, [RX] 0x18DA03F1, 24 49 81 F8 36 00 18 E0 <-- CF
00> [OTA] seq=5648, time= 50.437s, [RX] 0x18DA03F1, 25 13 48 36 30 00 78 20 <-- CF
00> [OTA] seq=5649, time= 50.439s, [RX] 0x18DA03F1, 26 F0 01 00 11 49 81 F8 <-- CF
00> [OTA] seq=5650, time= 50.441s, [RX] 0x18DA03F1, 27 36 00 09 25 09 E0 00 <-- CF
00> [OTA] seq=5651, time= 50.445s, [RX] 0x18DA03F1, 28 20 FF F7 53 FF 01 28 <-- CF
00> [OTA] seq=5652, time= 50.466s, [RX] 0x18DA03F1, 29 01 D1 00 25 06 E0 00 <-- CF
00> [OTA] seq=5653, time= 50.470s, [RX] 0x18DA03F1, 2A 98 40 1C 00 90 00 98 <-- CF
00> [OTA] seq=5654, time= 50.473s, [RX] 0x18DA03F1, 2B B0 F5 80 5F F1 D3 00 <-- CF
00> [OTA] seq=5655, time= 50.474s, [RX] 0x18DA03F1, 2C BF 06 48 00 88 4F F6 <-- CF
00> [OTA] seq=5656, time= 50.476s, [RX] 0x18DA03F1, 2D FE 71 08 40 40 F4 25 <-- CF
00> [OTA] seq=5657, time= 50.477s, [RX] 0x18DA03F1, 2E 40 03 49 A1 F8 FE 03 <-- CF
00> [OTA] seq=5658, time= 50.479s, [RX] 0x18DA03F1, 2F 28 46 38 BD 00 00 FE <-- CF
00> [OTA] seq=5659, time= 50.481s, [RX] 0x18DA03F1, 20 43 05 40 00 40 05 40 <-- CF
00> [OTA] seq=5660, time= 50.481s, [RX] 0x18DA03F1, 21 2E 2E 5C 2E 2E 5C 64 <-- CF
00> [OTA] seq=5661, time= 50.481s, [RX] 0x18DA03F1, 22 72 69 76 65 72 5C 73 <-- CF
00> [OTA] seq=5662, time= 50.481s, [RX] 0x18DA03F1, 23 72 63 5C 68 63 33 32 <-- CF
00> [OTA] seq=5663, time= 50.481s, [RX] 0x18DA03F1, 24 66 34 36 30 5F 63 6C <-- CF
00> [FW] >>> OnTransferData: seq=8, len=256
00> [OTA] seq=5664, time= 50.496s, [TX] 0x18DAF103, 03 76 76 08 AA AA AA AA 
00> [OTA] seq=5665, time= 50.516s, [RX] 0x18DA03F1, 11 02 36 09 6B 2E 63 00 <-- FF TransferData
00> [OTA] FF: response_id=0x18DAF103
00> [OTA] FC: dst_id=0x18DAF103 bs=0 stmin=5
00> [OTA] seq=5666, time= 50.516s, [TX] 0x18DAF103, 30 00 05 AA AA AA AA AA 
00> [OTA] seq=5667, time= 50.518s, [RX] 0x18DA03F1, 21 00 41 05 40 10 B5 04 <-- CF
00> [OTA] seq=5668, time= 50.520s, [RX] 0x18DA03F1, 22 46 00 BF 0C B1 01 2C <-- CF
